ra_low_h,ra_up_h,dec_low_deg,con
13.9583,14.0333,30.75,CVn
2.4167,2.7167,30.6667,Tri
2.7167,4.5,30.6667,Per
4.5,4.75,30.0,Aur
18.175,19.3583,30.0,Lyr
11.0,12.0,29.0,UMa
19.6667,20.9167,29.0,Cyg
4.75,5.8833,28.5,Aur
9.8833,10.5,28.5,LMi
13.25,13.9583,28.5,CVn
0.0,0.0667,28.0,And
1.4083,1.6667,28.0,Tri
5.8833,6.5333,28.0,Aur
7.8833,8.0,28.0,Gem
20.9167,21.7333,28.0,Cyg
19.2583,19.6667,27.5,Cyg
1.9167,2.4167,27.25,Tri
16.1667,16.3333,27.0,CrB
15.0833,15.1833,26.0,Boo
15.1833,16.1667,26.0,CrB
18.3667,18.8667,26.0,Lyr
10.75,11.0,25.5,LMi
18.8667,19.2583,25.5,Lyr
1.6667,1.9167,25.0,Tri
0.7167,0.85,23.75,Psc
10.5,10.75,23.5,LMi
21.25,21.4167,23.5,Vul
5.7,5.8833,22.8333,Tau
0.0667,0.1417,22.0,And
15.9167,16.0333,22.0,Ser
5.8833,6.2167,21.5,Gem
19.8333,20.25,21.25,Vul
18.8667,19.25,21.0833,Vul
0.1417,0.85,21.0,And
20.25,20.5667,20.5,Vul
7.8083,7.8833,20.0,Gem
20.5667,21.25,19.5,Vul
19.25,19.8333,19.1667,Vul
3.2833,3.3667,19.0,Ari
18.8667,19.0,18.5,Sge
5.7,5.7667,18.0,Ori
6.2167,6.3083,17.5,Gem
19.0,19.8333,16.1667,Sge
4.9667,5.3333,16.0,Tau
15.9167,16.0833,16.0,Her
19.8333,20.25,15.75,Sge
4.6167,4.9667,15.5,Tau
5.3333,5.6,15.5,Tau
12.8333,13.5,15.0,Com
17.25,18.25,14.3333,Her
11.8667,12.8333,14.0,Com
7.5,7.8083,13.5,Gem
16.75,17.25,12.8333,Her
0.0,0.1417,12.5,Peg
5.6,5.7667,12.5,Tau
7.0,7.5,12.5,Gem
21.1167,21.3333,12.5,Peg
6.3083,6.9333,12.0,Gem
18.25,18.8667,12.0,Her
20.875,21.05,11.8333,Del
21.05,21.1167,11.8333,Peg
11.5167,11.8667,11.0,Leo
6.2417,6.3083,10.0,Ori
6.9333,7.0,10.0,Gem
7.8083,7.925,10.0,Cnc
23.8333,24.0,10.0,Peg
1.6667,3.2833,9.9167,Ari
20.1417,20.3,8.5,Del
13.5,15.0833,8.0,Boo
22.75,23.8333,7.5,Peg
7.925,9.25,7.0,Cnc
9.25,10.75,7.0,Leo
18.25,18.6622,6.25,Oph
18.6622,18.8667,6.25,Aql
20.8333,20.875,6.0,Del
7.0,7.0167,5.5,CMi
18.25,18.425,4.5,Ser
16.0833,16.75,4.0,Her
18.25,18.425,3.0,Oph
21.4667,21.6667,2.75,Peg
0.0,2.0,2.0,Psc
18.5833,18.8667,2.0,Ser
20.3,20.8333,2.0,Del
20.8333,21.3333,2.0,Equ
21.3333,21.4667,2.0,Peg
22.0,22.75,2.0,Peg
21.6667,22.0,1.75,Peg
7.0167,7.2,1.5,CMi
3.5833,4.6167,0.0,Tau
4.6167,4.6667,0.0,Ori
7.2,8.0833,0.0,CMi
14.6667,15.0833,0.0,Vir
17.8333,18.25,0.0,Oph
2.65,3.2833,-1.75,Cet
3.2833,3.5833,-1.75,Tau
15.0833,16.2667,-3.25,Ser
4.6667,5.0833,-4.0,Ori
5.8333,6.2417,-4.0,Ori
17.8333,17.9667,-4.0,Ser
18.25,18.5833,-4.0,Ser
18.5833,18.8667,-4.0,Aql
22.75,23.8333,-4.0,Psc
10.75,11.5167,-6.0,Leo
11.5167,11.8333,-6.0,Vir
0.0,0.3333,-7.0,Psc
23.8333,24.0,-7.0,Psc
14.25,14.6667,-8.0,Vir
15.9167,16.2667,-8.0,Oph
20.0,20.5333,-9.0,Aql
21.3333,21.8667,-9.0,Aqr
17.1667,17.9667,-10.0,Oph
5.8333,8.0833,-11.0,Mon
4.9167,5.0833,-11.0,Eri
5.0833,5.8333,-11.0,Ori
8.0833,8.3667,-11.0,Hya
9.5833,10.75,-11.0,Sex
11.8333,12.8333,-11.0,Vir
17.5833,17.6667,-11.6667,Oph
18.8667,20.0,-12.0333,Aql
4.8333,4.9167,-14.5,Eri
20.5333,21.3333,-15.0,Aqr
17.1667,18.25,-16.0,Ser
18.25,18.8667,-16.0,Sct
8.3667,8.5833,-17.0,Hya
16.2667,16.375,-18.25,Oph
8.5833,9.0833,-19.0,Hya
10.75,10.8333,-19.0,Crt
16.2667,16.375,-19.25,Sco
15.6667,15.9167,-20.0,Lib
12.5833,12.8333,-22.0,Crv
12.8333,14.25,-22.0,Vir
9.0833,9.75,-24.0,Hya
1.6667,2.65,-24.3833,Cet
2.65,3.75,-24.3833,Eri
10.8333,11.8333,-24.5,Crt
11.8333,12.5833,-24.5,Crv
14.25,14.9167,-24.5,Lib
16.2667,16.75,-24.5833,Oph
0.0,1.6667,-25.5,Cet
21.3333,21.8667,-25.5,Cap
21.8667,23.8333,-25.5,Aqr
23.8333,24.0,-25.5,Cet
9.75,10.25,-26.5,Hya
4.7,4.8333,-27.25,Eri
4.8333,6.1167,-27.25,Lep
20.0,21.3333,-28.0,Cap
10.25,10.5833,-29.1667,Hya
12.5833,14.9167,-29.5,Hya
14.9167,15.6667,-29.5,Lib
15.6667,16.0,-29.5,Sco
4.5833,4.7,-30.0,Eri
16.75,17.6,-30.0,Oph
17.6,17.8333,-30.0,Sgr
10.5833,10.8333,-31.1667,Hya
6.1167,7.3667,-33.0,CMa
12.25,12.5833,-33.0,Hya
10.8333,12.25,-35.0,Hya
3.5,3.75,-36.0,For
8.3667,9.3667,-36.75,Pyx
4.2667,4.5833,-37.0,Eri
17.8333,19.1667,-37.0,Sgr
21.3333,23.0,-37.0,PsA
23.0,23.3333,-37.0,Scl
3.0,3.5,-39.5833,For
9.3667,11.0,-39.75,Ant
0.0,1.6667,-40.0,Scl
1.6667,3.0,-40.0,For
3.8667,4.2667,-40.0,Eri
23.3333,24.0,-40.0,Scl
14.1667,14.9167,-42.0,Cen
15.6667,16.0,-42.0,Lup
16.0,16.4208,-42.0,Sco
4.8333,5.0,-43.0,Cae
5.0,6.5833,-43.0,Col
8.0,8.3667,-43.0,Pup
3.4167,3.8667,-44.0,Eri
16.4208,17.8333,-45.5,Sco
17.8333,19.1667,-45.5,CrA
19.1667,20.3333,-45.5,Sgr
20.3333,21.3333,-45.5,Mic
3.0,3.4167,-46.0,Eri
4.5,4.8333,-46.5,Cae
15.3333,15.6667,-48.0,Lup
0.0,2.3333,-48.1667,Phe
2.6667,3.0,-49.0,Eri
4.0833,4.2667,-49.0,Hor
4.2667,4.5,-49.0,Cae
21.3333,22.0,-50.0,Gru
6.0,8.0,-50.75,Pup
8.0,8.1667,-50.75,Vel
2.4167,2.6667,-51.0,Eri
3.8333,4.0833,-51.0,Hor
0.0,1.8333,-51.5,Phe
6.0,6.1667,-52.5,Car
8.1667,8.45,-53.0,Vel
3.5,3.8333,-53.1667,Hor
3.8333,4.0,-53.1667,Dor
0.0,1.5833,-53.5,Phe
2.1667,2.4167,-54.0,Eri
4.5,5.0,-54.0,Pic
15.05,15.3333,-54.0,Lup
8.45,8.8333,-54.5,Vel
6.1667,6.5,-55.0,Car
11.8333,12.8333,-55.0,Cen
14.1667,15.05,-55.0,Lup
15.05,15.3333,-55.0,Nor
4.0,4.3333,-56.5,Dor
8.8333,11.0,-56.5,Vel
11.0,11.25,-56.5,Cen
17.5,18.0,-57.0,Ara
18.0,20.3333,-57.0,Tel
22.0,23.3333,-57.0,Gru
3.2,3.5,-57.5,Hor
5.0,5.5,-57.5,Pic
6.5,6.8333,-58.0,Car
0.0,1.3333,-58.5,Phe
1.3333,2.1667,-58.5,Eri
23.3333,24.0,-58.5,Phe
4.3333,4.5833,-59.0,Dor
15.3333,16.4208,-60.0,Nor
20.3333,21.3333,-60.0,Ind
5.5,6.0,-61.0,Pic
15.1667,15.3333,-61.0,Cir
16.4208,16.5833,-61.0,Ara
14.9167,15.1667,-63.5833,Cir
16.5833,16.75,-63.5833,Ara
6.0,6.8333,-64.0,Pic
6.8333,9.0333,-64.0,Car
11.25,11.8333,-64.0,Cen
11.8333,12.8333,-64.0,Cru
12.8333,14.5333,-64.0,Cen
13.5,13.6667,-65.0,Cir
16.75,16.8333,-65.0,Ara
2.1667,3.2,-67.5,Hor
3.2,4.5833,-67.5,Ret
14.75,14.9167,-67.5,Cir
16.8333,17.5,-67.5,Ara
17.5,18.0,-67.5,Pav
22.0,23.3333,-67.5,Tuc
4.5833,6.5833,-70.0,Dor
13.6667,14.75,-70.0,Cir
14.75,17.0,-70.0,TrA
0.0,1.3333,-75.0,Tuc
3.5,4.5833,-75.0,Hyi
6.5833,9.0333,-75.0,Vol
9.0333,11.25,-75.0,Car
11.25,13.6667,-75.0,Mus
18.0,21.3333,-75.0,Pav
21.3333,23.3333,-75.0,Ind
23.3333,24.0,-75.0,Tuc
0.75,1.3333,-76.0,Tuc
0.0,3.5,-82.5,Hyi
7.6667,13.6667,-82.5,Cha
13.6667,18.0,-82.5,Aps
3.5,7.6667,-85.0,Men
0.0,24.0,-90.0,Oct
